claim_id,claimant_id,claim_type,claimed_area,gis_area,overlap_pct,overlapping_claims_count,name_similarity_score,survey_number_matched,missing_doc_count,historical_claim_count,is_anomaly
FRA_10000,CLM_202,IFR,2.27,2.37,6.35,0,0.91,YES,0,0,0
FRA_10001,CLM_535,IFR,1.93,1.94,6.77,0,0.96,YES,0,0,0
FRA_10002,CLM_370,IFR,3.34,3.22,8.33,0,0.98,YES,0,0,0
FRA_10003,CLM_206,IFR,3.43,1.37,89.9,3,0.64,NO,1,2,1
FRA_10004,CLM_171,IFR,1.66,1.73,2.15,0,0.93,YES,0,0,0
FRA_10005,CLM_120,CFR,2.93,2.99,6.97,0,0.89,YES,0,0,0
FRA_10006,CLM_221,CFR,3.2,3.31,8.2,0,0.87,YES,0,0,0
FRA_10007,CLM_566,IFR,2.79,2.82,4.54,0,1.0,YES,0,0,0
FRA_10008,CLM_314,IFR,1.03,1.03,4.31,0,0.88,YES,0,0,0
FRA_10009,CLM_430,IFR,3.57,3.7,4.2,0,0.99,YES,0,0,0
FRA_10010,CLM_558,IFR,2.39,2.3,5.65,0,0.97,YES,0,0,0
FRA_10011,CLM_187,CFR,1.49,1.52,3.41,0,0.86,YES,0,0,0
FRA_10012,CLM_472,IFR,1.99,1.96,0.77,0,0.97,YES,0,1,0
FRA_10013,CLM_199,IFR,0.63,0.62,2.65,0,0.89,YES,0,0,0
FRA_10014,CLM_230,IFR,0.95,0.99,2.14,0,0.85,YES,0,1,0
FRA_10015,CLM_408,IFR,3.18,3.25,9.47,0,0.9,YES,0,0,0
FRA_10016,CLM_443,IFR,0.5,0.51,3.64,0,0.85,YES,0,0,0
FRA_10017,CLM_591,IFR,1.96,1.96,5.66,0,0.87,YES,0,0,0
FRA_10018,CLM_513,IFR,2.33,2.26,0.93,0,0.87,YES,0,0,0
FRA_10019,CLM_485,CFR,0.69,0.68,2.59,0,0.86,YES,0,0,0
FRA_10020,CLM_291,CFR,3.91,7.03,55.25,2,0.33,NO,2,5,1
FRA_10021,CLM_376,IFR,1.29,1.23,4.93,0,0.9,YES,0,0,0
FRA_10022,CLM_260,IFR,1.56,1.57,1.61,0,0.97,YES,0,0,0
FRA_10023,CLM_559,IFR,1.56,1.51,1.49,0,0.9,YES,0,0,0
FRA_10024,CLM_413,IFR,1.31,1.33,0.57,0,0.91,YES,0,0,0
FRA_10025,CLM_121,IFR,0.51,0.49,6.42,0,0.98,YES,0,1,0
FRA_10026,CLM_352,IFR,3.05,1.22,48.8,4,0.56,YES,3,2,1
FRA_10027,CLM_660,IFR,3.88,3.74,5.46,0,0.86,YES,0,0,0
FRA_10028,CLM_574,IFR,1.29,1.29,0.82,0,1.0,YES,0,0,0
FRA_10029,CLM_158,IFR,2.82,2.81,5.05,0,0.88,YES,0,0,0
FRA_10030,CLM_610,IFR,3.1,7.74,69.67,2,0.56,YES,2,5,1
FRA_10031,CLM_575,CFR,3.47,3.44,4.27,0,0.93,YES,0,1,0
FRA_10032,CLM_289,CFR,1.98,1.92,9.34,0,0.97,YES,0,0,0
FRA_10033,CLM_662,IFR,1.56,1.6,0.16,0,0.86,YES,0,1,0
FRA_10034,CLM_666,CFR,1.64,1.72,2.94,0,0.96,YES,0,0,0
FRA_10035,CLM_343,IFR,2.99,3.1,1.03,0,1.0,YES,0,0,0
FRA_10036,CLM_604,CFR,3.36,3.48,3.24,0,0.94,YES,0,0,0
FRA_10037,CLM_230,CFR,1.14,1.16,5.75,0,0.89,YES,0,0,0
FRA_10038,CLM_584,IFR,1.8,1.75,6.92,0,0.94,YES,0,0,0
FRA_10039,CLM_120,IFR,3.66,3.55,0.6,0,0.94,YES,0,0,0
FRA_10040,CLM_266,IFR,3.32,3.17,7.34,0,0.92,YES,0,1,0
FRA_10041,CLM_373,IFR,3.95,3.88,4.65,0,0.86,YES,0,0,0
FRA_10042,CLM_487,IFR,3.14,2.99,6.31,0,0.93,YES,0,0,0
FRA_10043,CLM_415,IFR,1.88,1.84,6.64,1,0.86,YES,0,1,0
FRA_10044,CLM_113,IFR,2.57,2.59,5.64,0,0.86,YES,0,0,0
FRA_10045,CLM_341,CFR,2.81,2.84,3.41,1,0.91,YES,0,0,0
FRA_10046,CLM_445,CFR,0.77,0.79,2.93,0,0.95,YES,0,1,0
FRA_10047,CLM_664,IFR,2.41,2.48,6.76,0,0.99,YES,0,0,0
FRA_10048,CLM_439,IFR,2.98,2.83,2.72,0,0.95,YES,0,0,0
FRA_10049,CLM_191,IFR,1.09,1.1,0.16,0,0.9,YES,0,0,0
FRA_10050,CLM_466,IFR,3.23,3.25,3.43,0,0.86,YES,0,0,0
FRA_10051,CLM_554,CFR,2.54,2.65,6.5,0,0.91,YES,0,0,0
FRA_10052,CLM_527,IFR,3.83,3.94,1.18,0,0.96,YES,0,0,0
FRA_10053,CLM_608,IFR,0.65,0.63,0.13,0,0.98,YES,0,1,0
FRA_10054,CLM_134,IFR,1.43,1.44,5.14,0,0.93,YES,0,0,0
FRA_10055,CLM_305,IFR,2.61,2.63,3.89,0,0.86,YES,0,0,0
FRA_10056,CLM_180,IFR,1.54,1.48,1.77,1,0.92,YES,0,0,0
FRA_10057,CLM_661,CFR,3.0,3.11,9.96,0,0.97,YES,0,0,0
FRA_10058,CLM_487,IFR,3.16,3.1,4.03,0,0.95,YES,0,0,0
FRA_10059,CLM_101,IFR,0.86,0.83,6.32,0,0.94,YES,0,0,0
FRA_10060,CLM_489,IFR,2.3,2.34,7.53,0,0.92,YES,0,0,0
